build_order,priority,feature_id,feature_name,feature_type,category,source_signal,estimated_matching_equations,article_count,example_equations,source_articles,why_build_it,recommended_inputs,recommended_outputs,recommended_backend,recommended_ui,first_mvp_scope,depends_on,status
11,P0,risk-impact-resilience-calculator,"Risk, Impact, and Resilience Matrix Calculator",calculator/backlog,Risk / resilience,calculator-backlog-csv,701,,"V(H) = \alpha E_H + \beta T_H + \gamma A_H - \delta R_H; C_A \leq f(P(H), Q_E, L_R); R = (E, S, C)",,"Compute risk from probability, consequence, exposure, vulnerability, resilience, and uncertainty.","hazards, probabilities, consequences, exposure, vulnerability, resilience score","risk matrix, ranked risks, sensitivity, mitigation comparison",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,"Central to governance, environmental risk, infrastructure, and global impact.",feature-builder-dashboard,proposed
12,P0,stock-flow-systems-simulator,Stock-Flow and Accumulation Simulator,calculator/backlog,Systems modeling,calculator-backlog-csv,351,,"x_{t+1}=f(x_t,\theta); X_{t+1}=X_t+\text{inflows}_t-\text{outflows}_t; S_{t+1}=S_t+I_t-D_t-L_t",,"Model stocks, inflows, outflows, depletion, replenishment, leakage, and carrying capacity.","initial stock, inflows, outflows, leakage, capacity, time horizon","time-series graph, scenario table, threshold warnings, sensitivity report",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,"High priority because many equations are stocks, flows, and recurrence relations.",feature-builder-dashboard,proposed
13,P1,graphable-function-explorer,Graphable Function and Symbolic Relationship Explorer,calculator/backlog,Mathematical modeling,calculator-backlog-csv,13975,,C_i = \frac{Q_i}{6}; S_i = \frac{E_i}{Q_i}; B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)},,Plot and explain symbolic functions from article equations when variables are defined.,"function expression, variable range, parameter values","function graph, extrema/roots hints, interpretation",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Good bridge from articles to visual learning.,feature-builder-dashboard,proposed
14,P1,planetary-boundaries-pressure-index,Planetary Boundaries and Anthropocene Pressure Index,calculator/backlog,Sustainability / Earth systems,calculator-backlog-csv,13186,,C_i = \frac{Q_i}{6}; S_i = \frac{E_i}{Q_i}; B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)},,"Estimate cumulative Earth-system pressure across climate, biosphere, freshwater, land, nutrients, and pollution.","indicator values, boundary thresholds, weights, uncertainty","pressure score, boundary exceedance chart, warning bands",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Good for Anthropocene and planetary boundaries content.,feature-builder-dashboard,proposed
15,P1,time-series-diagnostics-toolkit,Time-Series Diagnostics and Change Detection Tool,calculator/backlog,Predictive analytics,calculator-backlog-csv,3556,,"V(H) = \alpha E_H + \beta T_H + \gamma A_H - \delta R_H; H_{t+1} = u(H_t, E_{t+1}); x_{t+1}=f(x_t,\theta)",,"Check trend, autocorrelation, seasonality, structural breaks, lag effects, and forecast readiness.","date series, values, groups, lags, thresholds","diagnostic plots, stationarity hints, break flags, model recommendations",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Use before forecasting or policy scenario modeling.,feature-builder-dashboard,proposed
16,P1,limits-to-growth-system-dynamics,Limits to Growth Scenario Simulator,calculator/backlog,Systems dynamics,calculator-backlog-csv,2451,,X_{t+1}=X_t+\text{inflows}_t-\text{outflows}_t; S_t = \text{stored resource at time } t; S_{t+1}=S_t+I_t-D_t-L_t,,"Simulate population, resources, pollution, capital, food, and feedback delays under scenarios.","stocks, flows, growth rates, delays, policy interventions","multi-line scenario graph, overshoot risk, sensitivity report",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,This belongs as a major Sustainable Catalyst tool.,feature-builder-dashboard,proposed
17,P1,climate-energy-balance-tool,Climate Forcing and Energy Balance Calculator,calculator/backlog,Climate / energy,calculator-backlog-csv,2422,,"S_{t+1}=\min\left(K,\max\left(0,S_t+I_t-D_t-L_t\right)\right); S(t)=S(t_0)+\int_{t_0}^{t} F(\tau)\,d\tau; S(t)=S(t_0)+\int_{t_0}^{t}\big(I(\tau)-O(\tau)\big)\,d\tau",,"Analyze simplified radiative forcing, warming response, emissions trajectories, and energy-balance assumptions.","forcing, climate sensitivity, emissions path, response time","temperature response curve, emissions comparison, uncertainty bands",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Useful for climate change and energy systems article maps.,feature-builder-dashboard,proposed
18,P1,population-ecology-growth-tool,"Population, Ecology, and Logistic Growth Tool",calculator/backlog,Biology / ecology,calculator-backlog-csv,2386,,"S_{t+1}=\min\left(K,\max\left(0,S_t+I_t-D_t-L_t\right)\right); \frac{dS}{dt}=I(t)-kS(t); \tau=\frac{1}{k}",,"Model exponential/logistic growth, carrying capacity, population pressure, and ecological limits.","N0, r, K, time horizon, intervention scenario","growth curve, carrying-capacity comparison, threshold report",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,"Ties biology, environmental science, and limits-to-growth.",feature-builder-dashboard,proposed
19,P1,predictive-model-diagnostics-suite,Predictive Model Diagnostics Suite,calculator/module,Predictive analytics,equation-registry-pattern,2116,910,V(H) = \alpha E_H + \beta T_H + \gamma A_H - \delta R_H ; I_t = \alpha + \beta_1 E_t + \beta_2 U_t + \beta_3 R_t - \beta_4(E_t - U_t)^2 + \varepsilon_t ; V_{t+1} = V_t - \alpha K_t + \beta A_t - \lambda R_t ; C_{t+1} = C_t + \beta(1 - C_t) ; P_{t+1} = P_t - \alpha S_t + \beta L_t + \gamma C_t + \delta T_t,"Quantum Field Theory I: Fields, Particles, and Second Quantization | Group Theory and Representation Theory in Physics | Phase Transitions, Critical Phenomena, and the Renormalization Group | Orthogonal Decomposition and Structured Approximation: How Linear Algebra Separates Signal, Residual | Singular Value Decomposition: How Linear Algebra Reveals Rank, Stability, and Low-Rank Structure","Support forecasting, regression, residuals, uncertainty, validation, and model interpretation.","dataset, target, predictors, model family, validation split","forecast, residual plot, metrics, uncertainty intervals",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
20,P1,content-framework-coverage-scorer,Content Framework Coverage and Evidence Scorer,calculator/module,Content frameworks,equation-registry-pattern,1644,566,C_i = \frac{Q_i}{6} ; S_i = \frac{E_i}{Q_i} ; B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)} ; R_i = w_1C_i + w_2S_i + w_3B_i + w_4A_i + w_5G_i ; \sum_i z_i c_i = 0,"Symmetry, Conservation, and Noether’s Theorem | Environmental Sensor Networks for Embedded and Edge Systems | Infrastructure Governance and Policy Systems: Planning, Delivery and Public Accountability | Asset Management and Predictive Maintenance Systems: Lifecycle Stewardship and Infrastructure Perfor | Conflict, Fragility, and Resilience Under Stress","Turn content-framework equations into article quality, completeness, support, and balance tools.","question coverage, evidence count, category weights, governance needs","coverage/support/balance score, gap list, editorial recommendations",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
21,P1,chemistry-lab-equilibrium-calculator,"Chemistry Lab, Equilibrium, and Solution Calculator",calculator/module,Chemistry / lab science,equation-registry-pattern,1601,863,V(H) = \alpha E_H + \beta T_H + \gamma A_H - \delta R_H ; \alpha: W \rightarrow M ; \psi(M) \approx \phi(W) \quad \text{for purpose } U ; W \xrightarrow{\alpha} M \xrightarrow{\text{analysis}} O \xrightarrow{\iota} I ; pH = -\log_{10}[H_3O^+],"Superconductivity, Superfluidity, and Macroscopic Quantum Order | Quantum Field Theory I: Fields, Particles, and Second Quantization | Path Integrals and the Functional Formulation of Physics | Chemical Thermodynamics and Energetics | General Relativity: Geometry, Gravity, and Spacetime Curvature","Support chemistry articles with solutions, equilibrium, thermodynamics, and lab prep calculations.","concentrations, volumes, equilibrium constants, temperature","pH/concentration/equilibrium outputs, lab notes",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
22,P1,relativity-cosmology-calculator,Relativity and Cosmology Calculator,calculator/module,Astrophysics / cosmology,equation-registry-pattern,1481,588,"V_{t+1} = V_t - \alpha K_t + \beta A_t - \lambda R_t ; \Omega_r = o_1R_r + o_2K^{rigid}_r + o_3V_r + o_4K_r + o_5I_r ; \Delta_r = \max\left(0,\left(d_1\Omega_r + d_2P^{revolt}_r + d_3Z_r + d_4I_r\right)(1 + \theta I_r) - T_r\right) ; P_{t+1} = \lambda M_t + \epsilon_t ; R^{slow}_{t+1} = R^{slow}_t - \phi \Omega^{fast}_t + \psi M^{slow}_t","Lambda Calculus, Functions, and Formal Computation: How Functions Define Computation | Cosmology and the Large-Scale Structure of the Universe | Waves, Oscillations, and Resonance | Eigenvalues, Eigenvectors, and System Modes: How Linear Algebra Reveals System Behavior | General Relativity: Geometry, Gravity, and Spacetime Curvature","Support spacetime, curvature, cosmology, expansion, and large-scale structure articles.","metric/scenario, cosmological parameters, redshift, distance model","distance estimates, expansion plots, curvature/scale interpretation",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
23,P1,recurrence-feedback-simulator,Discrete Recurrence and Feedback Simulator,calculator/module,Systems dynamics,equation-registry-pattern,1278,588,"H_{t+1} = u(H_t, E_{t+1}) ; X_{t+1}=X_t+\text{inflows}_t-\text{outflows}_t ; S_{t+1}=S_t+I_t-D_t-L_t ; S_{t+1}=\min\left(K,\max\left(0,S_t+I_t-D_t-L_t\right)\right) ; 1+2+\cdots+n=\frac{n(n+1)}{2}",Discrete Models and Recurrence Relations: How Mathematical Models Represent Stepwise Change | Reinforcement Learning in Dynamic Environments | Linear Dynamical Systems: How Linear Algebra Models Change Over Time | Stock-Flow Thinking in Social Systems | Success to the Successful and Systemic Advantage,"Analyze feedback, lag, state-transition, and scenario behavior in discrete time.","initial state, update rule, parameters, horizon","state trajectory, stability screen, sensitivity table",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
24,P1,chemistry-equilibrium-acid-base-tool,Chemistry Equilibrium and Acid-Base Calculator,calculator/backlog,Chemistry,calculator-backlog-csv,1268,,V(H) = \alpha E_H + \beta T_H + \gamma A_H - \delta R_H; \alpha: W \rightarrow M; \psi(M) \approx \phi(W) \quad \text{for purpose } U,,"Solve weak acid/base equilibrium, pH, buffers, titration, and reaction balance examples.","concentration, Ka/Kb, volumes, reaction equation","pH, species fractions, titration curve, equilibrium table",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,CSV shows chemistry-style equilibrium equations among broader science content.,feature-builder-dashboard,proposed
25,P1,physics-field-theory-workbench,Physics Field Theory and Lagrangian Workbench,calculator/module,Advanced physics,equation-registry-pattern,1155,380,"\psi(M) \approx \phi(W) \quad \text{for purpose } U ; \Delta S=\int_{t_0}^{t_1}\big(I(t)-O(t)\big)\,dt ; pH = -\log_{10}[H_3O^+] ; pH = pK_a + \log_{10}\frac{[A^-]}{[HA]} ; pH = pK_a","Symmetry, Conservation, and Noether’s Theorem | Quantum Field Theory I: Fields, Particles, and Second Quantization | Superconductivity, Superfluidity, and Macroscopic Quantum Order | Mathematical Methods in Physics | Partial Derivatives and Interaction Effects: How Calculus Measures Local System Sensitivity","Support advanced physics articles with Lagrangian, Hamiltonian, field, and variational reasoning.","field variables, Lagrangian density, parameters, boundary assumptions","Euler-Lagrange guidance, dimensional checks, qualitative interpretation",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
26,P1,optimization-constraint-solver,Optimization and Constraint Solver,calculator/module,Optimization,equation-registry-pattern,1050,541,"H^* = \arg\max_H P(H \mid O) ; C_A \leq f(P(H), Q_E, L_R) ; S_{t+1}=\min\left(K,\max\left(0,S_t+I_t-D_t-L_t\right)\right) ; \left|\int_{t_0}^{t_1}(I(t)-O(t))\,dt\right|\leq \int_{t_0}^{t_1}|I(t)-O(t)|\,dt\leq \int_{t_0}^{t_1}I(t)\,dt+\int_{t_0}^{t_1}O(t) ; \Delta_r = \max(0, D_r + Z_r - C^{response}_r)","Equations, Inequalities, and Model Logic: How Mathematical Models Define What Must Hold | Optimization Models and Objective Functions: How Mathematical Models Support Better Decisions | Algebraic Models and Static Relationships: How Mathematical Models Connect Variables | Improper Integrals and Unbounded Quantities: How Calculus Handles Infinite Limits and System Extreme | Variables, Parameters, and Constraints: The Building Blocks of Mathematical Models","Evaluate constrained tradeoffs, feasible sets, and objective-function choices.","objective function, constraints, bounds, weights","optimal candidate, feasibility flags, tradeoff graph",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
27,P1,optimization-constraint-tool,Optimization and Constraint Calculator,calculator/backlog,Optimization,calculator-backlog-csv,1048,,"H^* = \arg\max_H P(H \mid O); C_A \leq f(P(H), Q_E, L_R); \min f(x)",,"Solve constrained decision problems, tradeoffs, feasible sets, and objective functions.","objective function, constraints, bounds, weights","optimal value, feasible region, sensitivity, tradeoff explanation",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,"Applicable to economics, policy, engineering, and decision science.",feature-builder-dashboard,proposed
28,P1,linear-algebra-model-diagnostics,Linear Algebra Model Diagnostics,calculator/backlog,Linear algebra,calculator-backlog-csv,718,,"D_{it} = \rho D_{i,t-1} + \beta t + \gamma R_{it} + \delta W_{it} + \theta A_{it} - \lambda H_{it} - \kappa B_{it} + \varepsilon_{it}; F(\mathbf{x})=\mathbf{0}; V = \theta H + \kappa G - \rho E",,"Solve systems and inspect rank, conditioning, eigenstructure, SVD, and model identifiability.","matrix A, vector b, tolerance, method","solution, rank, condition number, residuals, eigenvalues, SVD summary",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Important for Linear Algebra for Systems Modeling and scientific computing articles.,feature-builder-dashboard,proposed
29,P1,causal-inference-effect-tool,Causal Effect and Counterfactual Calculator,calculator/backlog,Causal inference,calculator-backlog-csv,345,,"S(t)=S(t_0)+\int_{t_0}^{t} F(\tau)\,d\tau; S(t)=S(t_0)+\int_{t_0}^{t}\big(I(\tau)-O(\tau)\big)\,d\tau; S(t)-S(t_0)=\int_{t_0}^{t}F(\tau)\,d\tau",,"Estimate and explain treatment effects, counterfactuals, confounding, and matched comparisons.","treated outcomes, control outcomes, covariates, assumptions","ATE/CATE, balance diagnostics, effect plot, cautions",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Matches equations like Y(1)-Y(0) and policy evaluation content.,feature-builder-dashboard,proposed
30,P1,algorithmic-complexity-calculator,Algorithmic Complexity and Scaling Calculator,calculator/backlog,Algorithms,calculator-backlog-csv,181,,"S(t)=S(t_0)+\int_{t_0}^{t}\big(I(\tau)-O(\tau)\big)\,d\tau; F_{\text{net}}(t)=I(t)-O(t); \frac{dS}{dt}=I(t)-O(t)",,"Compare computational growth rates, runtime scaling, throughput, latency budgets, and bottlenecks.","input sizes, complexity class, constants, throughput/latency values","growth chart, scaling table, bottleneck explanation",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Useful for algorithms and computational reasoning articles.,feature-builder-dashboard,proposed
31,P1,bayesian-evidence-updater,Bayesian Evidence and Belief Update Calculator,calculator/backlog,Probability / inference,calculator-backlog-csv,168,,"H^* = \arg\max_H P(H \mid O); Y\sim P(y\mid\theta); R_{workflow} = \sum_{t=1}^{T} P(a_t \mid s_t)\, L(a_t,s_t,G)",,"Turn prior, likelihood, and evidence into posterior reasoning and uncertainty updates.","prior probability, likelihood, false positive/negative rates, evidence","posterior probability, likelihood ratio, sensitivity table, explanation",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,"Useful for decision science, medical/public health, research inference, and AI evaluation.",feature-builder-dashboard,proposed
32,P1,network-cascade-graph-tool,Network Dependency and Cascade Risk Tool,calculator/backlog,Graph systems,calculator-backlog-csv,156,,"G=(V,E); MachineOutput \subseteq OrderedRepresentation + PriorKnowledge + Execution; KG = (V, E, R, P)",,"Analyze dependency networks, cascades, centrality, bottlenecks, and failure propagation.","node list, edge list, weights, dependency types","network metrics, centrality table, cascade simulation, graph export",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,"Ideal for infrastructure, institutions, supply chains, and systems thinking.",feature-builder-dashboard,proposed
33,P1,policy-coherence-tradeoff-tool,"Policy Coherence, Synergy, and Tradeoff Calculator",calculator/backlog,Governance / policy,calculator-backlog-csv,111,,R_s = \alpha H + \beta E + \gamma V + \delta K + \epsilon B_a - \lambda C - \mu M - \nu G; S = \alpha D + \beta I + \gamma C + \delta A + \epsilon E; R_p = S \times L \times (1-D),,"Measure policy contradiction, synergy, spillover risk, monitoring quality, and coordination capacity.","policy domains, contradiction scores, synergy scores, spillover weights","coherence score, contradiction map, policy report",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Directly suggested by several equation-heavy sustainability policy articles.,feature-builder-dashboard,proposed
34,P1,eigen-stability-calculator,Eigenvalue Stability and State Transition Calculator,calculator/backlog,Linear systems,calculator-backlog-csv,58,,\frac{d\mathbf{x}}{dt}=A\mathbf{x}(t)+B\mathbf{u}(t); \mathbf{x}_{t+1}=A\mathbf{x}_t+B\mathbf{u}_t; \mathbf{x}_{t+1}=A\mathbf{x}_t,,"Analyze whether matrix-driven systems converge, oscillate, diverge, or decouple.","state matrix, initial vector, time horizon","eigenvalues, mode decomposition, trajectory plot, stability classification",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,"Can power Markov dynamics, systems modeling, control, and economics tools.",feature-builder-dashboard,proposed
35,P2,mechanics-energy-momentum-tool,"Physics Mechanics, Energy, and Momentum Calculator",calculator/backlog,Physics,calculator-backlog-csv,1389,,"S(t)=S(t_0)+\int_{t_0}^{t} F(\tau)\,d\tau; S(t)=S(t_0)+\int_{t_0}^{t}\big(I(\tau)-O(\tau)\big)\,d\tau; S(t)-S(t_0)=\int_{t_0}^{t}F(\tau)\,d\tau",,"Compute forces, work, energy, momentum, torque, rotation, and idealized mechanical systems.","mass, velocity, force, distance, angle, radius, time","values, motion graph, energy diagram, safety caveats",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Part of the professional systems layer.,feature-builder-dashboard,proposed
36,P2,psychology-scale-reliability-tool,Psychology Scale and Construct Reliability Tool,calculator/backlog,Psychology / behavioral science,calculator-backlog-csv,1000,,V(H) = \alpha E_H + \beta T_H + \gamma A_H - \delta R_H; \alpha: W \rightarrow M; \alpha_{A^-} = \frac{K_a}{K_a + [H^+]},,"Compute scale scores, Cronbach-style reliability, factor/construct checks, and group comparisons.","item responses, reverse-code flags, groups, scale map","score distribution, reliability estimate, interpretation limits",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Supports cognitive/social/personality/positive psychology and grit.,feature-builder-dashboard,proposed
