priority,calculator_id,calculator_name,category,estimated_matching_equations,example_equations_from_registry,why_build_it,recommended_inputs,recommended_outputs,implementation_notes
P1,network-cascade-graph-tool,Network Dependency and Cascade Risk Tool,Graph systems,156,"G=(V,E); MachineOutput \subseteq OrderedRepresentation + PriorKnowledge + Execution; KG = (V, E, R, P)","Analyze dependency networks, cascades, centrality, bottlenecks, and failure propagation.","node list, edge list, weights, dependency types","network metrics, centrality table, cascade simulation, graph export","Ideal for infrastructure, institutions, supply chains, and systems thinking."
P1,bayesian-evidence-updater,Bayesian Evidence and Belief Update Calculator,Probability / inference,168,"H^* = \arg\max_H P(H \mid O); Y\sim P(y\mid\theta); R_{workflow} = \sum_{t=1}^{T} P(a_t \mid s_t)\, L(a_t,s_t,G)","Turn prior, likelihood, and evidence into posterior reasoning and uncertainty updates.","prior probability, likelihood, false positive/negative rates, evidence","posterior probability, likelihood ratio, sensitivity table, explanation","Useful for decision science, medical/public health, research inference, and AI evaluation."
P1,causal-inference-effect-tool,Causal Effect and Counterfactual Calculator,Causal inference,345,"S(t)=S(t_0)+\int_{t_0}^{t} F(\tau)\,d\tau; S(t)=S(t_0)+\int_{t_0}^{t}\big(I(\tau)-O(\tau)\big)\,d\tau; S(t)-S(t_0)=\int_{t_0}^{t}F(\tau)\,d\tau","Estimate and explain treatment effects, counterfactuals, confounding, and matched comparisons.","treated outcomes, control outcomes, covariates, assumptions","ATE/CATE, balance diagnostics, effect plot, cautions",Matches equations like Y(1)-Y(0) and policy evaluation content.
P1,linear-algebra-model-diagnostics,Linear Algebra Model Diagnostics,Linear algebra,718,"D_{it} = \rho D_{i,t-1} + \beta t + \gamma R_{it} + \delta W_{it} + \theta A_{it} - \lambda H_{it} - \kappa B_{it} + \varepsilon_{it}; F(\mathbf{x})=\mathbf{0}; V = \theta H + \kappa G - \rho E","Solve systems and inspect rank, conditioning, eigenstructure, SVD, and model identifiability.","matrix A, vector b, tolerance, method","solution, rank, condition number, residuals, eigenvalues, SVD summary",Important for Linear Algebra for Systems Modeling and scientific computing articles.
P1,eigen-stability-calculator,Eigenvalue Stability and State Transition Calculator,Linear systems,58,\frac{d\mathbf{x}}{dt}=A\mathbf{x}(t)+B\mathbf{u}(t); \mathbf{x}_{t+1}=A\mathbf{x}_t+B\mathbf{u}_t; \mathbf{x}_{t+1}=A\mathbf{x}_t,"Analyze whether matrix-driven systems converge, oscillate, diverge, or decouple.","state matrix, initial vector, time horizon","eigenvalues, mode decomposition, trajectory plot, stability classification","Can power Markov dynamics, systems modeling, control, and economics tools."
P1,optimization-constraint-tool,Optimization and Constraint Calculator,Optimization,1048,"H^* = \arg\max_H P(H \mid O); C_A \leq f(P(H), Q_E, L_R); \min f(x)","Solve constrained decision problems, tradeoffs, feasible sets, and objective functions.","objective function, constraints, bounds, weights","optimal value, feasible region, sensitivity, tradeoff explanation","Applicable to economics, policy, engineering, and decision science."
P1,time-series-diagnostics-toolkit,Time-Series Diagnostics and Change Detection Tool,Predictive analytics,3556,"V(H) = \alpha E_H + \beta T_H + \gamma A_H - \delta R_H; H_{t+1} = u(H_t, E_{t+1}); x_{t+1}=f(x_t,\theta)","Check trend, autocorrelation, seasonality, structural breaks, lag effects, and forecast readiness.","date series, values, groups, lags, thresholds","diagnostic plots, stationarity hints, break flags, model recommendations",Use before forecasting or policy scenario modeling.
P1,policy-coherence-tradeoff-tool,"Policy Coherence, Synergy, and Tradeoff Calculator",Governance / policy,111,R_s = \alpha H + \beta E + \gamma V + \delta K + \epsilon B_a - \lambda C - \mu M - \nu G; S = \alpha D + \beta I + \gamma C + \delta A + \epsilon E; R_p = S \times L \times (1-D),"Measure policy contradiction, synergy, spillover risk, monitoring quality, and coordination capacity.","policy domains, contradiction scores, synergy scores, spillover weights","coherence score, contradiction map, policy report",Directly suggested by several equation-heavy sustainability policy articles.
P1,planetary-boundaries-pressure-index,Planetary Boundaries and Anthropocene Pressure Index,Sustainability / Earth systems,13186,C_i = \frac{Q_i}{6}; S_i = \frac{E_i}{Q_i}; B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)},"Estimate cumulative Earth-system pressure across climate, biosphere, freshwater, land, nutrients, and pollution.","indicator values, boundary thresholds, weights, uncertainty","pressure score, boundary exceedance chart, warning bands",Good for Anthropocene and planetary boundaries content.
P1,limits-to-growth-system-dynamics,Limits to Growth Scenario Simulator,Systems dynamics,2451,X_{t+1}=X_t+\text{inflows}_t-\text{outflows}_t; S_t = \text{stored resource at time } t; S_{t+1}=S_t+I_t-D_t-L_t,"Simulate population, resources, pollution, capital, food, and feedback delays under scenarios.","stocks, flows, growth rates, delays, policy interventions","multi-line scenario graph, overshoot risk, sensitivity report",This belongs as a major Sustainable Catalyst tool.
P1,climate-energy-balance-tool,Climate Forcing and Energy Balance Calculator,Climate / energy,2422,"S_{t+1}=\min\left(K,\max\left(0,S_t+I_t-D_t-L_t\right)\right); S(t)=S(t_0)+\int_{t_0}^{t} F(\tau)\,d\tau; S(t)=S(t_0)+\int_{t_0}^{t}\big(I(\tau)-O(\tau)\big)\,d\tau","Analyze simplified radiative forcing, warming response, emissions trajectories, and energy-balance assumptions.","forcing, climate sensitivity, emissions path, response time","temperature response curve, emissions comparison, uncertainty bands",Useful for climate change and energy systems article maps.
P1,chemistry-equilibrium-acid-base-tool,Chemistry Equilibrium and Acid-Base Calculator,Chemistry,1268,V(H) = \alpha E_H + \beta T_H + \gamma A_H - \delta R_H; \alpha: W \rightarrow M; \psi(M) \approx \phi(W) \quad \text{for purpose } U,"Solve weak acid/base equilibrium, pH, buffers, titration, and reaction balance examples.","concentration, Ka/Kb, volumes, reaction equation","pH, species fractions, titration curve, equilibrium table",CSV shows chemistry-style equilibrium equations among broader science content.
P1,population-ecology-growth-tool,"Population, Ecology, and Logistic Growth Tool",Biology / ecology,2386,"S_{t+1}=\min\left(K,\max\left(0,S_t+I_t-D_t-L_t\right)\right); \frac{dS}{dt}=I(t)-kS(t); \tau=\frac{1}{k}","Model exponential/logistic growth, carrying capacity, population pressure, and ecological limits.","N0, r, K, time horizon, intervention scenario","growth curve, carrying-capacity comparison, threshold report","Ties biology, environmental science, and limits-to-growth."
P1,graphable-function-explorer,Graphable Function and Symbolic Relationship Explorer,Mathematical modeling,13975,C_i = \frac{Q_i}{6}; S_i = \frac{E_i}{Q_i}; B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)},Plot and explain symbolic functions from article equations when variables are defined.,"function expression, variable range, parameter values","function graph, extrema/roots hints, interpretation",Good bridge from articles to visual learning.
P1,algorithmic-complexity-calculator,Algorithmic Complexity and Scaling Calculator,Algorithms,181,"S(t)=S(t_0)+\int_{t_0}^{t}\big(I(\tau)-O(\tau)\big)\,d\tau; F_{\text{net}}(t)=I(t)-O(t); \frac{dS}{dt}=I(t)-O(t)","Compare computational growth rates, runtime scaling, throughput, latency budgets, and bottlenecks.","input sizes, complexity class, constants, throughput/latency values","growth chart, scaling table, bottleneck explanation",Useful for algorithms and computational reasoning articles.
P2,mechanics-energy-momentum-tool,"Physics Mechanics, Energy, and Momentum Calculator",Physics,1389,"S(t)=S(t_0)+\int_{t_0}^{t} F(\tau)\,d\tau; S(t)=S(t_0)+\int_{t_0}^{t}\big(I(\tau)-O(\tau)\big)\,d\tau; S(t)-S(t_0)=\int_{t_0}^{t}F(\tau)\,d\tau","Compute forces, work, energy, momentum, torque, rotation, and idealized mechanical systems.","mass, velocity, force, distance, angle, radius, time","values, motion graph, energy diagram, safety caveats",Part of the professional systems layer.
P2,materials-stress-strain-tool,"Materials, Stress-Strain, and Failure Screening Tool",Materials / mechanical engineering,687,"B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)}; E=\int_{t_0}^{t_1}C(t)\,dt; A_t = \frac{\theta + \mu L_t + \delta D_t + \sigma S_t}{1 + R_t}","Estimate stress, strain, elastic response, safety factor, fatigue screening, and material comparison.","loads, geometry, material properties, allowable stress","stress/strain values, safety factor, comparison chart",Educational only; not licensed engineering advice.
P2,structural-beam-column-tool,"Structural Beam, Column, and Load Path Calculator",Structural engineering,13,\text{Momentum}_{t+1} = \text{Momentum}_t + \text{Visibility}_t + \text{Participation}_t - \text{Resistance}_t; \det(A)\neq0 \quad\Longleftrightarrow\quad \operatorname{rank}(A)=n \quad\Longleftrightarrow\quad \text{every column has a pivot}; \det(A)=0 \quad\Longleftrightarrow\quad \text{columns of }A\text{ are linearly dependent},"Analyze simplified beams, columns, loads, shear/moment, deflection, and buckling risk.","span, load, support type, section properties, material","shear/moment diagram, deflection estimate, warning flags",High value for professional systems; must have strong safety limitations.
P2,electrical-circuit-tool,Electrical Circuit and Power Calculator,Electrical engineering,102,"WP=\frac{Y}{W}; Labor\ Impact = f(Technology,\ Organization,\ Policy,\ Power); AP = Current\ Benefits - Social\ Costs - Ecological\ Costs","Analyze DC/AC circuits, Ohm’s law, impedance, filters, RC/RL time constants, and power.","voltage, current, resistance, capacitance, inductance, frequency","circuit values, Bode-style plot, power summary",Expand existing electrical calculator toward professional depth.
P2,rf-antenna-link-budget-tool,"RF, Antenna, and Link Budget Calculator",RF / communications,861,"V_{t+1} = V_t - \alpha K_t + \beta A_t - \lambda R_t; P_{t+1} = \lambda M_t + \epsilon_t; G_i^{*} = G_i - \lambda \max(0, F_i - A_i)","Compute wavelength, link budget, free-space path loss, antenna gain, impedance, and noise margin.","frequency, distance, transmit power, gains, losses, bandwidth, noise figure","link budget table, margin, frequency/wavelength converter",Important for RF engineers and embedded systems.
P2,power-grid-energy-systems-tool,Power Systems and Grid Reliability Calculator,Power systems,110,"Capacity = Replicas \times Throughput_{replica}; Reliability=1-P(Failure); Deployment \leq \min(Data,Compute,Storage,Serving,Reliability,Governance)","Model load, capacity, storage, reliability margins, voltage drop, generation mix, and outage risk.","load profile, generation capacity, storage, demand growth, losses","load curve, capacity margin, reliability indicators",Supports energy systems and infrastructure content.
P2,rocket-orbital-astrophysics-tool,"Rocket, Orbital, and Astrophysics Calculator",Aerospace / astrophysics,29,w = -P_{\mathrm{ext}}\Delta V; e_{\mathrm{settle}} \approx \Delta V e^{-T_{\mathrm{acquire}}/(R_s C_{\mathrm{in}})}; \Delta V_{\Omega} = IR,"Handle orbital mechanics, delta-v, escape velocity, Keplerian periods, redshift, and simple astrophysics quantities.","mass, altitude, body parameters, velocity, redshift, observation data","trajectory/orbit estimates, energy calculations, report",CSV includes astrophysics and aerospace domain entries.
P2,quantum-nuclear-particle-physics-tool,"Quantum, Nuclear, and Particle Physics Education Calculator",Advanced physics,957,\psi(M) \approx \phi(W) \quad \text{for purpose } U; V_{t+1} = V_t - \alpha K_t + \beta A_t - \lambda R_t; P_{t+1} = \lambda M_t + \epsilon_t,"Support safe educational calculations for wave functions, uncertainty, decay, event rates, and particle units.","energy, frequency, half-life, cross section, luminosity, uncertainties","unit conversions, decay curve, event-rate estimates, warnings","Explicitly keep non-weapons, non-operational scope."
P2,clinical-research-epidemiology-tool,Clinical Research and Epidemiology Calculator,Health / medicine,114,"Governance\ Evidence = Inventory + Risk\ Register + Control\ Map + Audit\ Trail; Risk\ Score \rightarrow Clinical\ Review \rightarrow Action \rightarrow Outcome \rightarrow Monitoring; Review=f(Data,Model,Metrics,Risk,Security,Use)","Compute diagnostic metrics, risk ratios, odds ratios, NNT/NNH, trial summaries, and public-health rates.","2x2 table, exposure groups, event counts, population/time","diagnostic table, confidence intervals, interpretation caveats","Physician-facing educational only, not diagnosis/treatment."
P2,lab-assay-dose-response-tool,"Lab Assay, Dose-Response, and Calibration Tool",Lab science,40,Digital\ Twin = Model + Data + Calibration + Scenario\ Logic + Governance; \text{Calibration Gap} = \left|\text{Human Reliance} - \text{System Reliability}\right|; v = \frac{V_{\max}[S]}{K_M + [S]},"Analyze calibration curves, dilution, dose response, enzyme kinetics, assay quality, and lab reproducibility.","standards, concentrations, absorbance/response, replicates","curve fit, residuals, LOD/LOQ hints, QC report","Useful for biologists, chemists, and lab scientists."
P2,psychology-scale-reliability-tool,Psychology Scale and Construct Reliability Tool,Psychology / behavioral science,1000,V(H) = \alpha E_H + \beta T_H + \gamma A_H - \delta R_H; \alpha: W \rightarrow M; \alpha_{A^-} = \frac{K_a}{K_a + [H^+]},"Compute scale scores, Cronbach-style reliability, factor/construct checks, and group comparisons.","item responses, reverse-code flags, groups, scale map","score distribution, reliability estimate, interpretation limits",Supports cognitive/social/personality/positive psychology and grit.
P2,social-behavior-network-tool,Social Influence and Behavioral Systems Tool,Social psychology,60,"L_{feature}=45,\quad L_{model}=80,\quad L_{network}=35,\quad L_{post}=20; Model\ Output + Workflow + Authority = System\ Behavior; Predicted\ Risk = Physical\ Condition + Exposure + Network\ Consequence + Data\ Quality","Analyze social norms, influence pathways, group dynamics, adoption, and behavior-change leverage points.","actors/groups, influence strengths, behaviors, intervention points","influence matrix, leverage ranking, network graph",Maps behavioral science and public-policy article equations into tools.
P2,content-framework-completeness-tool,Content Framework Completeness and Evidence Support Calculator,Content frameworks,920,C_i = \frac{Q_i}{6}; S_i = \frac{E_i}{Q_i}; B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)},"Score explanatory completeness, evidence support, balance, audience path, and governance needs.","content assets, 5W1H coverage, evidence counts, weights","completeness score, missing-question map, editorial recommendations",Directly supported by early equations in the CSV.
P2,story-narrative-meaning-matrix,"Story, Narrative, Symbolism, and Meaning Matrix",Storytelling / meaning,115,"LovelaceLegacy = Procedure + SymbolicGenerality + MachineImagination + Limits; CipherSymbol \rightarrow PlainLetter; (State, Symbol) \rightarrow (NewState, NewSymbol, Move)","Turn narrative, symbolism, mythic structure, and meaning-centered interpretation into structured analysis.","story elements, symbols, tensions, transformations, audience/context","interpretive matrix, theme map, narrative arc summary","Not numeric-heavy, but fits the Workbench’s interpretive layer."
P3,csv-equation-feature-miner,CSV Equation Feature Miner,Developer tooling,14548,C_i = \frac{Q_i}{6}; S_i = \frac{E_i}{Q_i}; B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)},Read the equation registry CSV and suggest new calculators automatically from equation patterns.,"equation registry CSV, thresholds, domain map","feature backlog, calculator suggestions, evidence counts, implementation priority",This should be built as an admin/developer tool.
