priority,feature_id,feature_name,feature_type,category,source_signal,estimated_matching_equations,article_count,example_equations,source_articles,why_build_it,recommended_inputs,recommended_outputs,recommended_backend,recommended_ui,first_mvp_scope,depends_on,status
P1,physics-field-theory-workbench,Physics Field Theory and Lagrangian Workbench,calculator/module,Advanced physics,equation-registry-pattern,1155,380,"\psi(M) \approx \phi(W) \quad \text{for purpose } U ; \Delta S=\int_{t_0}^{t_1}\big(I(t)-O(t)\big)\,dt ; pH = -\log_{10}[H_3O^+] ; pH = pK_a + \log_{10}\frac{[A^-]}{[HA]} ; pH = pK_a","Symmetry, Conservation, and Noether’s Theorem | Quantum Field Theory I: Fields, Particles, and Second Quantization | Superconductivity, Superfluidity, and Macroscopic Quantum Order | Mathematical Methods in Physics | Partial Derivatives and Interaction Effects: How Calculus Measures Local System Sensitivity","Support advanced physics articles with Lagrangian, Hamiltonian, field, and variational reasoning.","field variables, Lagrangian density, parameters, boundary assumptions","Euler-Lagrange guidance, dimensional checks, qualitative interpretation",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
P2,quantum-particle-physics-calculator,Quantum and Particle Physics Calculator,calculator/module,Advanced physics,equation-registry-pattern,647,234,"B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)} ; \psi(M) \approx \phi(W) \quad \text{for purpose } U ; A_t = \frac{\theta + \mu L_t + \delta D_t + \sigma S_t}{1 + R_t} ; R^{slow}_{t+1} = R^{slow}_t - \phi \Omega^{fast}_t + \psi M^{slow}_t ; I_{it} = \rho I_{i,t-1} + \beta t + \omega A_{it} + \psi O_{it} + \gamma P_{it} + \delta F_{it} + \theta S_{it} - \lambda X_{it} +","Scattering Theory, Cross Sections, and Physical Inference | Continuum Physics and Material Behavior | Path Integrals and the Functional Formulation of Physics | Quantum Field Theory I: Fields, Particles, and Second Quantization | Quantum Mechanics and the Limits of Classical Intuition","Support quantum mechanics, particle physics, scattering, decay, measurement, and uncertainty examples.","energy, momentum, mass, lifetime, cross-section, detector assumptions","unit conversions, event estimate, uncertainty and interpretation",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
P1,relativity-cosmology-calculator,Relativity and Cosmology Calculator,calculator/module,Astrophysics / cosmology,equation-registry-pattern,1481,588,"V_{t+1} = V_t - \alpha K_t + \beta A_t - \lambda R_t ; \Omega_r = o_1R_r + o_2K^{rigid}_r + o_3V_r + o_4K_r + o_5I_r ; \Delta_r = \max\left(0,\left(d_1\Omega_r + d_2P^{revolt}_r + d_3Z_r + d_4I_r\right)(1 + \theta I_r) - T_r\right) ; P_{t+1} = \lambda M_t + \epsilon_t ; R^{slow}_{t+1} = R^{slow}_t - \phi \Omega^{fast}_t + \psi M^{slow}_t","Lambda Calculus, Functions, and Formal Computation: How Functions Define Computation | Cosmology and the Large-Scale Structure of the Universe | Waves, Oscillations, and Resonance | Eigenvalues, Eigenvectors, and System Modes: How Linear Algebra Reveals System Behavior | General Relativity: Geometry, Gravity, and Spacetime Curvature","Support spacetime, curvature, cosmology, expansion, and large-scale structure articles.","metric/scenario, cosmological parameters, redshift, distance model","distance estimates, expansion plots, curvature/scale interpretation",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
P2,signal-fourier-spectral-analysis,"Signal, Fourier, and Spectral Analysis Tool",calculator/module,Scientific computing,equation-registry-pattern,427,143,"\Omega_r = o_1R_r + o_2K^{rigid}_r + o_3V_r + o_4K_r + o_5I_r ; \Delta_r = \max\left(0,\left(d_1\Omega_r + d_2P^{revolt}_r + d_3Z_r + d_4I_r\right)(1 + \theta I_r) - T_r\right) ; R^{slow}_{t+1} = R^{slow}_t - \phi \Omega^{fast}_t + \psi M^{slow}_t ; I_{it} = \rho I_{i,t-1} + \beta t + \omega A_{it} + \psi O_{it} + \gamma P_{it} + \delta F_{it} + \theta S_{it} - \lambda X_{it} + ; F_a = \rho A_d + \sigma V_c + \tau M_d + \phi P_o + \chi C_c - \omega F_b","Waves, Oscillations, and Resonance | Rotational Dynamics, Torque, and Angular Momentum | Scattering Theory, Cross Sections, and Physical Inference | Quantum Field Theory I: Fields, Particles, and Second Quantization | Cosmology and the Large-Scale Structure of the Universe","Analyze spectral, Fourier, oscillatory, and signal-processing equations across science and engineering.","signal samples, sampling rate, transform type","spectrum, dominant frequency, reconstruction notes",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
P0,electrical-rf-power-design-tool,"Electrical, RF, and Power Design Tool",calculator/module,Electrical / RF / power,equation-registry-pattern,2821,1125,C_i = \frac{Q_i}{6} ; S_i = \frac{E_i}{Q_i} ; B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)} ; R_i = w_1C_i + w_2S_i + w_3B_i + w_4A_i + w_5G_i ; A\approx \sum_{i=1}^{n}F_i\Delta t_i,"Lambda Calculus, Functions, and Formal Computation: How Functions Define Computation | Eigenvalues, Eigenvectors, and System Modes: How Linear Algebra Reveals System Behavior | Stability Analysis with Eigenvalues: How Linear Algebra Detects Decay, Amplification, and Equilibriu | Cosmology and the Large-Scale Structure of the Universe | Physics-Informed Machine Learning and Scientific Computing","Support circuits, impedance, filters, RF, antenna, link budgets, and power systems.","frequency, impedance, voltage/current, gains/losses, distance","wavelength, impedance checks, link budget, safety notes",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
P1,chemistry-lab-equilibrium-calculator,"Chemistry Lab, Equilibrium, and Solution Calculator",calculator/module,Chemistry / lab science,equation-registry-pattern,1601,863,V(H) = \alpha E_H + \beta T_H + \gamma A_H - \delta R_H ; \alpha: W \rightarrow M ; \psi(M) \approx \phi(W) \quad \text{for purpose } U ; W \xrightarrow{\alpha} M \xrightarrow{\text{analysis}} O \xrightarrow{\iota} I ; pH = -\log_{10}[H_3O^+],"Superconductivity, Superfluidity, and Macroscopic Quantum Order | Quantum Field Theory I: Fields, Particles, and Second Quantization | Path Integrals and the Functional Formulation of Physics | Chemical Thermodynamics and Energetics | General Relativity: Geometry, Gravity, and Spacetime Curvature","Support chemistry articles with solutions, equilibrium, thermodynamics, and lab prep calculations.","concentrations, volumes, equilibrium constants, temperature","pH/concentration/equilibrium outputs, lab notes",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
P2,biology-ecology-growth-tool,"Biology, Ecology, and Growth Modeling Tool",calculator/module,Biology / ecology,equation-registry-pattern,612,333,"Agent\ Governance = Permission + Traceability + Review + Recovery ; SystemLearning_{t+1} = f(Errors_t, Feedback_t, Review_t, Revision_t) ; Governance\ Evidence = Inventory + Risk\ Register + Control\ Map + Audit\ Trail ; Learning\ System = People + Curriculum + Assessment + Tools + Data + Governance ; R_{learn} = w_1 S + w_2 I + w_3 P + w_4 Q + w_5 D + w_6 G","Modeling Population Dynamics | Pivot Structure and Solvability: How Linear Algebra Reveals Whether Systems Can Be Solved | The Future of Artificial Intelligence Systems | Autonomous Systems and Edge Intelligence | Projections, Reflections, and Geometric Interpretation: How Linear Algebra Makes Matrix Behavior Vis","Support biological, ecological, evolutionary, and population-dynamics articles.","population, growth rate, carrying capacity, interaction terms","growth curve, stability, ecological interpretation",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
P2,climate-environmental-systems-index,Climate and Environmental Systems Index,calculator/module,Climate / environment,equation-registry-pattern,177,112,A\approx \sum_{i=1}^{n}F_i\Delta t_i ; CO_2(aq) + H_2O \rightleftharpoons H_2CO_3 ; P_{t+1} = P_t - \alpha S_t + \beta L_t + \gamma C_t + \delta T_t ; Q(t_n)\approx Q_0+\sum_{i=0}^{n-1} r(t_i)\Delta t ; Q(t_n)\approx Q_0+\sum_{i=0}^{n-1}\frac{r(t_i)+r(t_{i+1})}{2}\Delta t,Numerical Methods in Physics | Ocean Chemistry and the Carbonate System | Computational Physics and Scientific Simulation | Climate Physics and Planetary Energy Balance | Finite Difference Methods,"Support environmental monitoring, climate, planetary boundaries, and global-impact index building.","indicators, thresholds, weights, region/time period","impact index, threshold flags, scenario comparison",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
P2,economics-policy-systems-suite,Economics and Policy Systems Suite,calculator/module,Economics / policy,equation-registry-pattern,433,242,x+y=y+x ; LovelaceLegacy = Procedure + SymbolicGenerality + MachineImagination + Limits ; Y=\frac{P}{A} ; Memory = Capability + Liability ; B_g = Delay_g + Cost_g + Complexity_g + Error_g,"Functional Relationships and Mathematical Structure: How Mathematical Models Define System Behavior | Algebraic Models and Static Relationships: How Mathematical Models Connect Variables | Change of Variables in Multidimensional Systems | Bias, Fairness, and Accountability in Artificial Intelligence | Economics of AI Systems and Platform Power","Support economics, welfare, policy coherence, development, beyond-GDP, and tradeoff modeling.","economic indicators, social indicators, ecological costs, policy weights","welfare score, tradeoff map, sensitivity table",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
P1,content-framework-coverage-scorer,Content Framework Coverage and Evidence Scorer,calculator/module,Content frameworks,equation-registry-pattern,1644,566,C_i = \frac{Q_i}{6} ; S_i = \frac{E_i}{Q_i} ; B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)} ; R_i = w_1C_i + w_2S_i + w_3B_i + w_4A_i + w_5G_i ; \sum_i z_i c_i = 0,"Symmetry, Conservation, and Noether’s Theorem | Environmental Sensor Networks for Embedded and Edge Systems | Infrastructure Governance and Policy Systems: Planning, Delivery and Public Accountability | Asset Management and Predictive Maintenance Systems: Lifecycle Stewardship and Infrastructure Perfor | Conflict, Fragility, and Resilience Under Stress","Turn content-framework equations into article quality, completeness, support, and balance tools.","question coverage, evidence count, category weights, governance needs","coverage/support/balance score, gap list, editorial recommendations",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
